TRIPS BY MODE,NEST MODE,SIMPLE MODE,QUANTITY
AUTO,DRIVEALONE,DRIVEALONEFREE,8351457
AUTO,DRIVEALONE,DRIVEALONEPAY,72734
AUTO,SHARED2,SHARED2FREE,4119026
AUTO,SHARED2,SHARED2PAY,10109
AUTO,SHARED3,SHARED3FREE,3064485
AUTO,SHARED3,SHARED3PAY,10308
NONMOTORIZED,NONMOTORIZED,BIKE,80393
NONMOTORIZED,NONMOTORIZED,WALK,795911
SCHOOL_BUS,SCHOOL_BUS,SCHOOL_BUS,924952
TRANSIT,KNR,KNR_ALLTRN,24347
TRANSIT,KNR,KNR_PRMTRN,20439
TRANSIT,PNR,PNR_ALLTRN,6395
TRANSIT,PNR,PNR_PRMTRN,47987
TRANSIT,WALK_TRANSIT,WALK_ALLTRN,152664
TRANSIT,WALK_TRANSIT,WALK_PRMTRN,34411
