PERSON_TYPE,PER,ORIG_PURPOSE,QUANTITY
ALL,1,ATWORK,93
ALL,1,EATOUT,199
ALL,1,ESCORT,1624
ALL,1,HOME,5128821
ALL,1,OTHDISCR,763
ALL,1,OTHMAINT,2181
ALL,1,SCHOOL,1832
ALL,1,SHOPPING,957
ALL,1,SOCIAL,358
ALL,1,UNIVERSITY,213
ALL,1,WORK,3308
ALL,2,ATWORK,222
ALL,2,EATOUT,520
ALL,2,ESCORT,3276
ALL,2,HOME,5118534
ALL,2,OTHDISCR,1417
ALL,2,OTHMAINT,4578
ALL,2,SCHOOL,2898
ALL,2,SHOPPING,2044
ALL,2,SOCIAL,830
ALL,2,UNIVERSITY,394
ALL,2,WORK,8744
ALL,3,ATWORK,474
ALL,3,EATOUT,911
ALL,3,ESCORT,4654
ALL,3,HOME,5107866
ALL,3,OTHDISCR,2549
ALL,3,OTHMAINT,6867
ALL,3,SCHOOL,3548
ALL,3,SHOPPING,3120
ALL,3,SOCIAL,1486
ALL,3,UNIVERSITY,571
ALL,3,WORK,18256
ALL,4,ATWORK,804
ALL,4,EATOUT,3777
ALL,4,ESCORT,7060
ALL,4,HOME,5093943
ALL,4,OTHDISCR,4564
ALL,4,OTHMAINT,10377
ALL,4,SCHOOL,3922
ALL,4,SHOPPING,4262
ALL,4,SOCIAL,2457
ALL,4,UNIVERSITY,897
ALL,4,WORK,35902
ALL,5,ATWORK,1304
ALL,5,EATOUT,6296
ALL,5,ESCORT,9514
ALL,5,HOME,5068650
ALL,5,OTHDISCR,12150
ALL,5,OTHMAINT,15160
ALL,5,SCHOOL,4150
ALL,5,SHOPPING,5218
ALL,5,SOCIAL,3546
ALL,5,UNIVERSITY,1417
ALL,5,WORK,75514
ALL,6,ATWORK,1844
ALL,6,EATOUT,8401
ALL,6,ESCORT,15379
ALL,6,HOME,5018775
ALL,6,OTHDISCR,18987
ALL,6,OTHMAINT,22241
ALL,6,SCHOOL,4314
ALL,6,SHOPPING,6960
ALL,6,SOCIAL,4771
ALL,6,UNIVERSITY,2522
ALL,6,WORK,153461
ALL,7,ATWORK,2374
ALL,7,EATOUT,10307
ALL,7,ESCORT,30050
ALL,7,HOME,4932648
ALL,7,OTHDISCR,25272
ALL,7,OTHMAINT,33443
ALL,7,SCHOOL,31291
ALL,7,SHOPPING,10966
ALL,7,SOCIAL,6520
ALL,7,UNIVERSITY,4734
ALL,7,WORK,281701
ALL,8,ATWORK,3333
ALL,8,EATOUT,12233
ALL,8,ESCORT,64583
ALL,8,HOME,4771872
ALL,8,OTHDISCR,31454
ALL,8,OTHMAINT,49585
ALL,8,SCHOOL,145484
ALL,8,SHOPPING,18449
ALL,8,SOCIAL,9261
ALL,8,UNIVERSITY,9477
ALL,8,WORK,479761
ALL,9,ATWORK,4975
ALL,9,EATOUT,15819
ALL,9,ESCORT,149611
ALL,9,HOME,4450034
ALL,9,OTHDISCR,42662
ALL,9,OTHMAINT,73252
ALL,9,SCHOOL,423933
ALL,9,SHOPPING,32443
ALL,9,SOCIAL,16181
ALL,9,UNIVERSITY,19532
ALL,9,WORK,739926
ALL,10,ATWORK,7238
ALL,10,EATOUT,22171
ALL,10,ESCORT,245551
ALL,10,HOME,3837814
ALL,10,OTHDISCR,57227
ALL,10,OTHMAINT,104257
