"STATION","MODE","LAT","LONG","TIMEOFDAY","BOARDINGS","ALIGHTINGS"
"7501","BUS",33.7445196864344,-84.4175396026827,"DAILY",4,2
"7502","BUS",33.7511001585905,-84.417519596417,"DAILY",0,0
"7503","BUS",33.7522103813758,-84.417519596417,"DAILY",1,2
"7511","BUS",33.727280314461,-84.4174702476283,"DAILY",0,0
"7512","BUS",33.7308202793147,-84.423249390913,"DAILY",0,1
"7514","BUS",33.7332300430809,-84.427230637787,"DAILY",0,4
"7521","BUS",33.7435597765883,-84.4039900258006,"DAILY",6,5
"7524","BUS",33.7415600436879,-84.4029496999843,"DAILY",0,1
"7525","BUS",33.7381199703445,-84.4016306201993,"DAILY",7,7
"7526","BUS",33.7305196534362,-84.4016706327307,"DAILY",2,3
"7527","BUS",33.7221496962251,-84.4016599627223,"DAILY",0,0
"7528","BUS",33.7397696072852,-84.3549199910465,"DAILY",100,87
"7529","BUS",33.739760093808,-84.3582703736754,"DAILY",20,23
"7541","BUS",33.7419396314268,-84.3945097233617,"DAILY",4,2
"7542","BUS",33.7419900528558,-84.3982095487648,"DAILY",4,1
"7543","BUS",33.7365902032161,-84.3736298507277,"DAILY",4,0
"7544","BUS",33.7366501381223,-84.3764494004401,"DAILY",33,32
"7545","BUS",33.7367100730284,-84.3784193507359,"DAILY",24,31
"7548","BUS",33.7367595431097,-84.3823099025387,"DAILY",127,134
"7550","BUS",33.7368404076656,-84.3945897484245,"DAILY",3,49
"7552","BUS",33.7370202123841,-84.4016306201993,"DAILY",5,6
"7553","BUS",33.7365797383912,-84.4047502638972,"DAILY",1,4
"7554","BUS",33.7381799052507,-84.4101799644077,"DAILY",31,38
"7555","BUS",33.7382198618548,-84.4123606473689,"DAILY",18,22
"7556","BUS",33.7382398401568,-84.4140598462022,"DAILY",825.02,828.04
"7557","BUS",33.7382398401568,-84.4156803537238,"DAILY",36,26
"7558","BUS",33.7380001005322,-84.4177103228166,"DAILY",57,48
"7559","BUS",33.7385804226394,-84.4272106315213,"DAILY",241,240
"7562","BUS",33.7429604275268,-84.4373604769857,"DAILY",3,8
"7563","BUS",33.7451399651457,-84.4395905087355,"DAILY",0,0
"7564","BUS",33.7458801136692,-84.4403294068154,"DAILY",1,0
"7565","BUS",33.7474298590996,-84.4418205404854,"DAILY",0,0
"7566","BUS",33.7506701494225,-84.4461098838512,"DAILY",0,0
"7569","BUS",33.7303997836239,-84.3879396657063,"DAILY",4,114
"7570","BUS",33.7303303352406,-84.3799504969374,"DAILY",3,0
"7572","BUS",33.7302399572075,-84.3736205144704,"DAILY",53,60
"7576","BUS",33.7368698994448,-84.3908405742326,"DAILY",1,1
"7577","BUS",33.7555296335592,-84.3794103277635,"DAILY",1,0
"7578","BUS",33.7497597096577,-84.3795196953493,"DAILY",79,70.01
"7579","BUS",33.7444702163531,-84.3792996264266,"DAILY",44,58
"7581","BUS",33.7428396063668,-84.3792996264266,"DAILY",15,5
"7586","BUS",33.7314995415843,-84.378479369533,"DAILY",5,3
"7587","BUS",33.7303103569385,-84.3784993757987,"DAILY",10,2
"7588","BUS",33.7265097228105,-84.3785300520728,"DAILY",101,12
"7589","BUS",33.7220602695398,-84.3786300834012,"DAILY",38,20
"7590","BUS",33.7201604281496,-84.378710108464,"DAILY",2,28
"7595","BUS",33.7336895440281,-84.3648897801195,"DAILY",53,39
"7596","BUS",33.7293304687904,-84.3644403060168,"DAILY",46,48
"7601","BUS",33.7639500121992,-84.3678000249031,"DAILY",11,27
"7604","BUS",33.7506796628997,-84.3735698319306,"DAILY",0,0
"King Historical","RAIL",33.7554896769551,-84.3743594125501,"DAILY",8,2
"7610","BUS",33.7731600094441,-84.3727895875683,"DAILY",7,10
"7611","BUS",33.7794997906278,-84.372809593834,"DAILY",0,0
"7615","BUS",33.7725501955577,-84.3776804526561,"DAILY",9,5
"7619","BUS",33.7468200452133,-84.3766601331055,"DAILY",6,0
"7620","BUS",33.7481300510191,-84.3766294568314,"DAILY",1,0
"Edgewood/Hillia","RAIL",33.7543804055175,-84.3765801080427,"DAILY",14,29
"7622","BUS",33.7555096552571,-84.3765694380343,"DAILY",1,0
"7623","BUS",33.7273297845423,-84.3928798795828,"DAILY",8,5
"7625","BUS",33.724990420507,-84.3908005617012,"DAILY",1,1
"7627","BUS",33.7176802646523,-84.381829752162,"DAILY",0,0
"7628","BUS",33.7169001595247,-84.3785100458071,"DAILY",3,0
"7629","BUS",33.7140004516843,-84.3736898695248,"DAILY",5,1
"7632","BUS",33.7293200039655,-84.4016199501909,"DAILY",0,0
"7636","BUS",33.7486199950932,-84.4024001945531,"DAILY",2,0
"7637","BUS",33.7488901778447,-84.4045195249661,"DAILY",32,33
"7638","BUS",33.7491498957713,-84.4065601640674,"DAILY",2,0
"7640","BUS",33.749030025959,-84.417519596417,"DAILY",7,4
"7641","BUS",33.749060469086,-84.4213901419541,"DAILY",5,6
