PERSON_TYPE,PER,ORIG_PURPOSE,QUANTITY
ALL,1,ATWORK,174
ALL,1,EATOUT,402
ALL,1,ESCORT,2957
ALL,1,HOME,7873529
ALL,1,OTHDISCR,1183
ALL,1,OTHMAINT,3677
ALL,1,SCHOOL,2702
ALL,1,SHOPPING,1610
ALL,1,SOCIAL,659
ALL,1,UNIVERSITY,261
ALL,1,WORK,7965
ALL,2,ATWORK,545
ALL,2,EATOUT,947
ALL,2,ESCORT,5835
ALL,2,HOME,7854269
ALL,2,OTHDISCR,2084
ALL,2,OTHMAINT,7489
ALL,2,SCHOOL,4323
ALL,2,SHOPPING,3597
ALL,2,SOCIAL,1342
ALL,2,UNIVERSITY,461
ALL,2,WORK,20224
ALL,3,ATWORK,1157
ALL,3,EATOUT,1646
ALL,3,ESCORT,8662
ALL,3,HOME,7833865
ALL,3,OTHDISCR,3560
ALL,3,OTHMAINT,11312
ALL,3,SCHOOL,5230
ALL,3,SHOPPING,5293
ALL,3,SOCIAL,2198
ALL,3,UNIVERSITY,647
ALL,3,WORK,39889
ALL,4,ATWORK,1918
ALL,4,EATOUT,6527
ALL,4,ESCORT,12885
ALL,4,HOME,7806929
ALL,4,OTHDISCR,6494
ALL,4,OTHMAINT,17357
ALL,4,SCHOOL,5791
ALL,4,SHOPPING,7150
ALL,4,SOCIAL,3522
ALL,4,UNIVERSITY,947
ALL,4,WORK,74301
ALL,5,ATWORK,2896
ALL,5,EATOUT,10713
ALL,5,ESCORT,16782
ALL,5,HOME,7759869
ALL,5,OTHDISCR,17002
ALL,5,OTHMAINT,24046
ALL,5,SCHOOL,6113
ALL,5,SHOPPING,8454
ALL,5,SOCIAL,5113
ALL,5,UNIVERSITY,1535
ALL,5,WORK,148380
ALL,6,ATWORK,3988
ALL,6,EATOUT,14286
ALL,6,ESCORT,25284
ALL,6,HOME,7672079
ALL,6,OTHDISCR,26412
ALL,6,OTHMAINT,34715
ALL,6,SCHOOL,6357
ALL,6,SHOPPING,11208
ALL,6,SOCIAL,6875
ALL,6,UNIVERSITY,2716
ALL,6,WORK,287593
ALL,7,ATWORK,4833
ALL,7,EATOUT,17002
ALL,7,ESCORT,44814
ALL,7,HOME,7520194
ALL,7,OTHDISCR,35202
ALL,7,OTHMAINT,51275
ALL,7,SCHOOL,41399
ALL,7,SHOPPING,17012
ALL,7,SOCIAL,9508
ALL,7,UNIVERSITY,5015
ALL,7,WORK,506257
ALL,8,ATWORK,6510
ALL,8,EATOUT,19707
ALL,8,ESCORT,90973
ALL,8,HOME,7258677
ALL,8,OTHDISCR,45021
ALL,8,OTHMAINT,74719
ALL,8,SCHOOL,189565
ALL,8,SHOPPING,27932
ALL,8,SOCIAL,13449
ALL,8,UNIVERSITY,9833
ALL,8,WORK,828279
ALL,9,ATWORK,9236
ALL,9,EATOUT,24672
ALL,9,ESCORT,202402
ALL,9,HOME,6776490
ALL,9,OTHDISCR,62530
ALL,9,OTHMAINT,107856
ALL,9,SCHOOL,550679
ALL,9,SHOPPING,47346
ALL,9,SOCIAL,23615
ALL,9,UNIVERSITY,20157
ALL,9,WORK,1238700
ALL,10,ATWORK,12935
ALL,10,EATOUT,34039
ALL,10,ESCORT,328454
ALL,10,HOME,5906343
ALL,10,OTHDISCR,85975
ALL,10,OTHMAINT,153963
ALL,10,SCHOOL,939790
ALL,10,SHOPPING,77738
ALL,10,SOCIAL,33899
ALL,10,UNIVERSITY,26934
ALL,10,WORK,1574616
ALL,11,ATWORK,17843
ALL,11,EATOUT,39571
ALL,11,ESCORT,309401
ALL,11,HOME,5031077
ALL,11,OTHDISCR,114053
