FROM,TO,Travel Time Savings
Beaverton,Beaverton,-224701.47802444512
Beaverton,Clackamas,-692782.3165293761
Beaverton,ClarkCounty,-308620.09589374036
Beaverton,ColumbiaCounty,-4860.934568440922
Beaverton,Damascus,-120078.48197673967
Beaverton,External,0.0
Beaverton,FairviewtoWoodVillagetoTroutdale,-213247.93770489848
Beaverton,ForestGrove,-2809.8790202602154
Beaverton,Gateway,-634296.8253865554
Beaverton,Gresham,-107886.48757973188
Beaverton,HappyValley,-115457.15877537725
Beaverton,Hillsboro,-11719.477095591456
Beaverton,Lents,-283592.23008341284
Beaverton,MilwaukietoLakeOswego,-178327.24342564767
Beaverton,PortlandCentralCity,-1727986.487965351
Beaverton,Rivergate,-365580.74739169475
Beaverton,SherwoodtoNewberg,8186.965938945647
Beaverton,Tigard,153912.43203933694
Beaverton,Tualatin,201117.24532946676
Beaverton,Vancouver,-479594.6452197895
Beaverton,WestLinntoOregonCity,-1040661.5073829578
Beaverton,WillametteValley,-86755.93564732197
Beaverton,Wilsonville,60425.827537660916
Clackamas,Beaverton,-421170.2262360929
Clackamas,Clackamas,203840.5475698779
Clackamas,ClarkCounty,179422.0645175244
Clackamas,ColumbiaCounty,125.7169011742771
Clackamas,Damascus,15200.39057504039
Clackamas,External,0.0
Clackamas,FairviewtoWoodVillagetoTroutdale,118064.16771496726
Clackamas,ForestGrove,-25459.170558815527
Clackamas,Gateway,494263.96239028784
Clackamas,Gresham,52257.29699178941
Clackamas,HappyValley,17954.02714799423
Clackamas,Hillsboro,-159354.977794059
Clackamas,Lents,182962.6777068984
Clackamas,MilwaukietoLakeOswego,-549616.163330273
Clackamas,PortlandCentralCity,-131783.07581074946
Clackamas,Rivergate,95661.81118886873
Clackamas,SherwoodtoNewberg,-96517.25864919447
Clackamas,Tigard,-649084.0830165353
Clackamas,Tualatin,-505333.80316689936
Clackamas,Vancouver,126316.91632315564
Clackamas,WestLinntoOregonCity,171822.55771777444
Clackamas,WillametteValley,65420.647815945355
Clackamas,Wilsonville,-248951.06720583647
ClarkCounty,Beaverton,327739.5158906878
ClarkCounty,Clackamas,634628.4324146672
ClarkCounty,ClarkCounty,23184.6923642165
ClarkCounty,ColumbiaCounty,12305.66028340628
ClarkCounty,Damascus,96545.98556156443
ClarkCounty,External,0.0
ClarkCounty,FairviewtoWoodVillagetoTroutdale,763393.6670661323
ClarkCounty,ForestGrove,23724.515262603632
ClarkCounty,Gateway,2554587.889559184
ClarkCounty,Gresham,280011.77182180056
ClarkCounty,HappyValley,104352.98511399156
ClarkCounty,Hillsboro,183667.91643613265
ClarkCounty,Lents,460729.3075926222
ClarkCounty,MilwaukietoLakeOswego,250011.93872396636
ClarkCounty,PortlandCentralCity,1953058.9708163938
ClarkCounty,Rivergate,697053.6038705009
ClarkCounty,SherwoodtoNewberg,-8381.086755778279
ClarkCounty,Tigard,27353.524234013563
ClarkCounty,Tualatin,-83685.68632539661
ClarkCounty,Vancouver,84595.78439749402
ClarkCounty,WestLinntoOregonCity,396945.8184915646
ClarkCounty,WillametteValley,117875.73382185481
ClarkCounty,Wilsonville,-27888.456417110734
ColumbiaCounty,Beaverton,-14615.427040240449
ColumbiaCounty,Clackamas,-1345.9470003478502
ColumbiaCounty,ClarkCounty,-13432.431503244205
ColumbiaCounty,ColumbiaCounty,-176.49862761103702
ColumbiaCounty,Damascus,-885.8011688642183
ColumbiaCounty,External,0.0
ColumbiaCounty,FairviewtoWoodVillagetoTroutdale,-4293.5799196432645
ColumbiaCounty,ForestGrove,-1557.149142404562
ColumbiaCounty,Gateway,-11526.476442049576
ColumbiaCounty,Gresham,-2134.2976502174984
ColumbiaCounty,HappyValley,-157.55860128301677
ColumbiaCounty,Hillsboro,-17664.284451266984
ColumbiaCounty,Lents,-2934.203826715734
ColumbiaCounty,MilwaukietoLakeOswego,-3635.31578149836
ColumbiaCounty,PortlandCentralCity,-20454.977199432644
ColumbiaCounty,Rivergate,-12482.589711058921
ColumbiaCounty,SherwoodtoNewberg,-190.44033888043876
ColumbiaCounty,Tigard,-4595.242673319676
ColumbiaCounty,Tualatin,-559.5906301635979
ColumbiaCounty,Vancouver,-17902.858800339687
ColumbiaCounty,WestLinntoOregonCity,-8264.503988951086
ColumbiaCounty,WillametteValley,-489.4695681067852
ColumbiaCounty,Wilsonville,-198.3247122127813
Damascus,Beaverton,-252666.7584875293
Damascus,Clackamas,179334.56557269927
Damascus,ClarkCounty,30153.24701703361
Damascus,ColumbiaCounty,-639.4065562677032
Damascus,Damascus,20974.020761523007
Damascus,External,0.0
Damascus,FairviewtoWoodVillagetoTroutdale,41996.07593940859
Damascus,ForestGrove,-13735.430564886836
Damascus,Gateway,82769.25560404545
Damascus,Gresham,44931.936878130975
Damascus,HappyValley,85425.74467585387
Damascus,Hillsboro,-84027.98281075152
Damascus,Lents,42621.74877524447
Damascus,MilwaukietoLakeOswego,-278134.1473761422
Damascus,PortlandCentralCity,-112655.44115394096
Damascus,Rivergate,5422.417052445443
Damascus,SherwoodtoNewberg,-66195.28264623796
Damascus,Tigard,-400207.72375169845
Damascus,Tualatin,-312539.75565986865
Damascus,Vancouver,18503.722733880644
Damascus,WestLinntoOregonCity,-118641.27528022688
Damascus,WillametteValley,4786.769848241319
Damascus,Wilsonville,-196352.19468734105
External,Beaverton,0.0
External,Clackamas,0.0
External,ClarkCounty,0.0
External,ColumbiaCounty,0.0
External,Damascus,0.0
External,External,0.0
External,FairviewtoWoodVillagetoTroutdale,0.0
External,ForestGrove,0.0
External,Gateway,0.0
External,Gresham,0.0
External,HappyValley,0.0
External,Hillsboro,0.0
External,Lents,0.0
External,MilwaukietoLakeOswego,0.0
External,PortlandCentralCity,0.0
External,Rivergate,0.0
External,SherwoodtoNewberg,0.0
External,Tigard,0.0
External,Tualatin,0.0
External,Vancouver,0.0
External,WestLinntoOregonCity,0.0
External,WillametteValley,0.0
External,Wilsonville,0.0
FairviewtoWoodVillagetoTroutdale,Beaverton,-126817.66596494391
FairviewtoWoodVillagetoTroutdale,Clackamas,211411.834038862
FairviewtoWoodVillagetoTroutdale,ClarkCounty,52824.565245805374
FairviewtoWoodVillagetoTroutdale,ColumbiaCounty,-1364.5894406610882
FairviewtoWoodVillagetoTroutdale,Damascus,2.8705748981099264
FairviewtoWoodVillagetoTroutdale,External,0.0
FairviewtoWoodVillagetoTroutdale,FairviewtoWoodVillagetoTroutdale,13890.925937286165
FairviewtoWoodVillagetoTroutdale,ForestGrove,-12813.2096366874
FairviewtoWoodVillagetoTroutdale,Gateway,19234.053782843734
FairviewtoWoodVillagetoTroutdale,Gresham,-1901.6873721916068
FairviewtoWoodVillagetoTroutdale,HappyValley,27357.8843939364
FairviewtoWoodVillagetoTroutdale,Hillsboro,-101090.84957220443
FairviewtoWoodVillagetoTroutdale,Lents,42554.090963220384
FairviewtoWoodVillagetoTroutdale,MilwaukietoLakeOswego,-55521.08389519526
FairviewtoWoodVillagetoTroutdale,PortlandCentralCity,-340578.5380549491
FairviewtoWoodVillagetoTroutdale,Rivergate,-18345.30983553825
FairviewtoWoodVillagetoTroutdale,SherwoodtoNewberg,-35575.791731803976
FairviewtoWoodVillagetoTroutdale,Tigard,-179450.04103529325
FairviewtoWoodVillagetoTroutdale,Tualatin,-171960.12443630892
FairviewtoWoodVillagetoTroutdale,Vancouver,32545.088349796893
FairviewtoWoodVillagetoTroutdale,WestLinntoOregonCity,93498.98866418126
FairviewtoWoodVillagetoTroutdale,WillametteValley,30702.869299679056
FairviewtoWoodVillagetoTroutdale,Wilsonville,-112262.2518580004
ForestGrove,Beaverton,-6731.216629626953
ForestGrove,Clackamas,-83967.20292473916
ForestGrove,ClarkCounty,-49259.636399592884
ForestGrove,ColumbiaCounty,-1295.3293416867712
ForestGrove,Damascus,-19163.563044910952
ForestGrove,External,0.0
ForestGrove,FairviewtoWoodVillagetoTroutdale,-41919.623032349074
ForestGrove,ForestGrove,-2002.0176758878736
ForestGrove,Gateway,-86973.72673155932
ForestGrove,Gresham,-17784.752599331492
ForestGrove,HappyValley,-13521.495124191297
ForestGrove,Hillsboro,-13769.59172807066
ForestGrove,Lents,-29436.475461488197
ForestGrove,MilwaukietoLakeOswego,-16936.246847896884
ForestGrove,PortlandCentralCity,-139934.6297156302
ForestGrove,Rivergate,-48490.489953724384
ForestGrove,SherwoodtoNewberg,6124.94959686015
ForestGrove,Tigard,14807.863740418808
ForestGrove,Tualatin,25872.216392845272
ForestGrove,Vancouver,-76808.12482890456
ForestGrove,WestLinntoOregonCity,-176097.7310049239
ForestGrove,WillametteValley,-15351.306187920236
ForestGrove,Wilsonville,6185.062757723123
Gateway,Beaverton,-293559.42036141077
Gateway,Clackamas,579970.4613073474
Gateway,ClarkCounty,75287.71476211821
Gateway,ColumbiaCounty,-2013.0779750465015
Gateway,Damascus,1003.1558567775741
Gateway,External,0.0
Gateway,FairviewtoWoodVillagetoTroutdale,-12879.89309644357
Gateway,ForestGrove,-17674.656884279408
Gateway,Gateway,24067.02498473293
Gateway,Gresham,-13740.420078704914
Gateway,HappyValley,57270.13727225077
Gateway,Hillsboro,-153014.02002302502
Gateway,Lents,121791.0773407592
Gateway,MilwaukietoLakeOswego,-184938.6557042689
Gateway,PortlandCentralCity,-914808.07765889
Gateway,Rivergate,-71679.19851632346
Gateway,SherwoodtoNewberg,-61075.49043877185
Gateway,Tigard,-430656.2768447986
Gateway,Tualatin,-311036.7146904159
Gateway,Vancouver,-20599.578707329907
Gateway,WestLinntoOregonCity,368509.3822904817
Gateway,WillametteValley,88643.79965255063
Gateway,Wilsonville,-152109.2222160435
Gresham,Beaverton,-127388.93262137931
Gresham,Clackamas,167106.93744932473
Gresham,ClarkCounty,32150.95700335871
Gresham,ColumbiaCounty,-1195.7631092013644
Gresham,Damascus,2347.704243458975
Gresham,External,0.0
Gresham,FairviewtoWoodVillagetoTroutdale,44392.93220179644
Gresham,ForestGrove,-7868.042369463987
Gresham,Gateway,18405.473169151108
Gresham,Gresham,16886.407523571008
Gresham,HappyValley,52673.71187802757
Gresham,Hillsboro,-62266.34115625067
Gresham,Lents,-10510.481208485044
Gresham,MilwaukietoLakeOswego,-121081.81955117885
Gresham,PortlandCentralCity,-391996.634314836
Gresham,Rivergate,-8646.39233178855
Gresham,SherwoodtoNewberg,-47362.65783067534
Gresham,Tigard,-191138.7242428268
Gresham,Tualatin,-218252.09119882828
Gresham,Vancouver,17484.21462699883
Gresham,WestLinntoOregonCity,7934.868318180955
Gresham,WillametteValley,16066.264247133746
Gresham,Wilsonville,-121733.79116441529
HappyValley,Beaverton,-217830.37443904945
HappyValley,Clackamas,137257.01782285055
HappyValley,ClarkCounty,69809.27266416827
