"Freight Flows","Lat","Long","Grouping","Daily$","DailyTons"
"Col Blvd EB Chimney Park",45.610041,-122.760483,"Agriculture",244288,531
"Col Blvd EB Chimney Park",456.10041,-1227.60483,"All Goods",6452782,7921
"Col Blvd EB Chimney Park",45.610041,-122.760483,"Chemical",5741,16
"Col Blvd EB Chimney Park",45.610041,-122.760483,"Coal, Oil, Waste, etc.",1119464,2748
"Col Blvd EB Chimney Park",45.610041,-122.760483,"Electronics",129411,11
"Col Blvd EB Chimney Park",45.610041,-122.760483,"Food",1511286,1110
"Col Blvd EB Chimney Park",45.610041,-122.760483,"Gravel, Sand, etc.",617,49
"Col Blvd EB Chimney Park",45.610041,-122.760483,"Machinery",2070464,1194
"Col Blvd EB Chimney Park",45.610041,-122.760483,"Misc manufactured",78477,38
"Col Blvd EB Chimney Park",45.610041,-122.760483,"Motor Vehicles, etc.",50196,5
"Col Blvd EB Chimney Park",45.610041,-122.760483,"Wood, Paper, etc.",1242837,2219
"Col Blvd EB Interstate",45.586977,-122.69236,"Agriculture",215215,468
"Col Blvd EB Interstate",455.86977,-1226.9236,"All Goods",4501617,5780
"Col Blvd EB Interstate",45.586977,-122.69236,"Chemical",164266,454
"Col Blvd EB Interstate",45.586977,-122.69236,"Coal, Oil, Waste, etc.",964989,2369
"Col Blvd EB Interstate",45.586977,-122.69236,"Electronics",71518,6
"Col Blvd EB Interstate",45.586977,-122.69236,"Food",1349630,991
"Col Blvd EB Interstate",45.586977,-122.69236,"Gravel, Sand, etc.",136,11
"Col Blvd EB Interstate",45.586977,-122.69236,"Machinery",1180766,681
"Col Blvd EB Interstate",45.586977,-122.69236,"Misc manufactured",109868,52
"Col Blvd EB Interstate",45.586977,-122.69236,"Motor Vehicles, etc.",28222,3
"Col Blvd EB Interstate",45.586977,-122.69236,"Wood, Paper, etc.",417007,744
"Col Blvd EB OR 99E",45.580013,-122.657508,"Agriculture",225997,492
