FROM,TO,HBCollege,HBOther,HBRec,HBShop,HBWork,NHBNonWork,NHBWork,HBSchool,AllPurposes
CBD,CBD,5994.79315343,24969.5601627,8485.44095109,11795.718274,21589.0989958,105501.440814,93997.8251111,2176.67629318,274510.553755
CBD,Clackamas.Co,88.2513610871,1409.57342122,279.277939647,856.819768001,2862.70886926,3700.59386355,4353.6343541,0.0,13550.8595769
CBD,Clark.Co,1.67959751535,674.783833337,42.7812429577,103.808035408,1260.08588886,2841.14304993,8236.49595523,0.0,13160.7776032
CBD,East.Multnomah.Co,71.4520876688,1868.93474791,329.799032163,945.126316551,2882.63492248,4451.67956369,5695.20523583,0.0,16244.8319063
CBD,Northwest,667.039281493,15256.8185002,4330.39751828,5080.9937325,11322.7483226,50462.1291553,36269.5886275,2123.00161928,125512.716757
CBD,Portland.Eastside,540.239429154,20768.5998656,5218.08675824,10023.9038235,19163.6352773,68528.6910966,68362.0214853,1866.90903997,194472.086776
CBD,Southwest,35.920595067,2300.2368708,289.310468351,1311.89863007,3766.90251058,6138.17390064,6523.03250824,0.0,20365.4754837
CBD,West.Wash.Co,82.6863506744,4621.39924567,577.483940787,1980.14584716,6202.7718783,10941.9475401,12269.7810439,0.0,36676.2158465
Clackamas.Co,CBD,7765.63918191,9600.44831514,2444.27753042,1207.28091785,40603.5295605,2687.8443332,1600.04965316,0.0,65909.0694921
Clackamas.Co,Clackamas.Co,22092.5555048,409743.090813,150053.936573,207204.812369,232007.39341,422561.974179,227321.081865,137716.94268,1808701.78739
Clackamas.Co,Clark.Co,12.3116518171,8500.38653353,417.547642293,331.958454871,9701.54872064,7349.91899799,10781.0179357,0.0,37094.6899369
Clackamas.Co,East.Multnomah.Co,7378.73745508,78958.3165789,20146.7345045,17603.3165273,60498.4471928,38214.559835,22722.8708101,11722.5368284,257245.519732
Clackamas.Co,Northwest,2261.47071514,23605.8055578,5879.60677529,2235.66421231,39459.709989,9115.90577786,7408.54902814,0.0,89966.7120555
Clackamas.Co,Portland.Eastside,5281.13929122,103287.324067,22044.1401435,15724.8828822,73884.0747734,52782.5129297,35538.9998192,0.0,308543.073906
Clackamas.Co,Southwest,562.144956676,53618.872668,13508.2813402,15527.3545795,68518.3109933,26966.1973873,20421.538699,0.0,199122.700624
Clackamas.Co,West.Wash.Co,272.460391526,23123.5135554,4662.94320011,3002.82382197,43501.9693932,8025.78588199,5780.7907284,0.0,88370.2869726
Clark.Co,CBD,5378.90511596,533.307656839,470.311176924,72.4762306591,41125.4074829,663.011602805,2465.31091447,0.0,50708.7301805
Clark.Co,Clackamas.Co,1078.55903065,561.479151068,488.191127668,84.6985506504,18922.8821287,1437.36346669,6554.24283508,0.0,29127.4162905
Clark.Co,Clark.Co,54940.2956598,1061394.09705,325299.291748,388490.18796,611740.657212,720235.7218,410947.034221,247242.564843,3820289.8505
Clark.Co,East.Multnomah.Co,2362.1408264,2256.71150145,1450.63329025,471.593588803,35704.3998835,5196.65022824,19871.2865301,0.0,67313.4158488
Clark.Co,Northwest,682.084071232,835.066620068,860.507060236,85.9577253501,29646.8003131,1399.87759333,8099.46370733,0.0,41609.7570906
Clark.Co,Portland.Eastside,6153.72085045,7465.24105213,4984.61325644,1921.54077752,79876.4450971,16945.9932603,56420.5463459,0.0,173768.10064
Clark.Co,Southwest,34.0300761958,269.939316714,269.584048673,38.6331915535,17359.0326109,711.208857098,4150.76278632,0.0,22833.1908875
Clark.Co,West.Wash.Co,148.090082067,549.197603857,510.386685428,58.5136378715,29419.2910106,1201.8470666,7247.88729629,0.0,39135.2133827
East.Multnomah.Co,CBD,7838.53380165,11652.7377124,2892.23727641,2752.66727705,41069.3008729,3069.86619382,2324.6746218,0.0,71600.0177561
East.Multnomah.Co,Clackamas.Co,4737.06782924,58420.7368929,14569.7441055,22543.5675759,51093.429239,27684.5097947,18235.1837526,6596.34123192,203880.580422
East.Multnomah.Co,Clark.Co,23.1372299483,14753.5116106,945.068219427,1209.62647097,10860.0845643,17087.2597174,29740.8178553,0.0,74619.5056679
East.Multnomah.Co,East.Multnomah.Co,20496.6538536,338855.57412,126741.951102,155286.86864,185640.00949,297701.673694,175949.231101,129404.206628,1430076.16863
East.Multnomah.Co,Northwest,1619.49557226,15793.2553769,3989.42452333,1942.62980672,30381.3864808,5192.52825899,4469.89667662,0.0,63388.6166956
East.Multnomah.Co,Portland.Eastside,7305.92267429,132178.493123,30283.6568688,33091.6048275,84835.2444148,76987.8126388,51462.3041024,0.0,416145.038649
East.Multnomah.Co,Southwest,142.273409607,9594.95239141,2043.1658973,1956.24687487,21401.363079,3791.83736177,2633.43025555,0.0,41563.2692695
East.Multnomah.Co,West.Wash.Co,304.357969037,12541.5777356,2451.51751927,1855.78402834,27653.1169956,4373.13468471,3206.27910788,0.0,52385.7680404
Northwest,CBD,12460.7973431,34091.5075518,11652.258709,13430.580121,48445.144427,30816.7483654,21595.5538165,2767.09709226,175259.687426
Northwest,Clackamas.Co,917.355019277,12594.7144163,3449.90316538,5953.02508922,20259.4974939,7233.34373934,7831.33921442,0.0,58239.1781379
Northwest,Clark.Co,6.01072474873,3523.75489886,252.296084285,382.971059678,6525.36390621,3842.1183153,12149.4414954,0.0,26681.9564844
Northwest,East.Multnomah.Co,518.248967546,8982.62851723,2018.53385708,3083.58496308,13707.37332,4712.5673633,6278.609357,0.0,39301.5463452
Northwest,Northwest,8184.41257905,97195.9776896,34817.4124571,31145.3892925,63611.9789044,99140.0471682,79905.1391361,40372.7720036,454373.129231
Northwest,Portland.Eastside,1936.55313088,67289.7536616,18356.1538542,24294.8333735,62648.6795875,50786.4739542,61097.0032092,5872.86366996,292282.314441
Northwest,Southwest,426.795538784,41841.3482853,10328.9718835,26805.349949,41351.0775029,28795.0083905,23338.2784661,0.0,172886.830016
Northwest,West.Wash.Co,1192.96300322,56569.2890357,13589.6484187,24160.9032249,49539.6394415,28146.5268467,27522.4662313,0.0,200721.436202
Portland.Eastside,CBD,22543.9392507,49760.6174463,15896.1074841,21085.3102312,93340.1003011,33254.307233,25610.7770083,1550.86590813,263042.024863
