FROM,TO,DAYSIM
NW SacramentoCounty,NW SacramentoCounty,368860
NE SacramentoCounty,NE SacramentoCounty,361430
SE SacramentoCounty,SE SacramentoCounty,15520
SW SacramentoCounty,SW SacramentoCounty,4600
Central SacramentoCounty,Central SacramentoCounty,517120
El Dorado,El Dorado,0
Placer,Placer,0
Sutter,Sutter,0
Yolo,Yolo,0
Yuba,Yuba,0
SE SacramentoCounty,SW SacramentoCounty,33260
SE SacramentoCounty,NW SacramentoCounty,12350
SE SacramentoCounty,Sutter,140
SW SacramentoCounty,NW SacramentoCounty,10940
SW SacramentoCounty,NE SacramentoCounty,6540
El Dorado,SW SacramentoCounty,590
SW SacramentoCounty,SE SacramentoCounty,33020
SW SacramentoCounty,Sutter,180
SE SacramentoCounty,Yuba,180
NW SacramentoCounty,SE SacramentoCounty,12410
NW SacramentoCounty,SW SacramentoCounty,11380
NE SacramentoCounty,SW SacramentoCounty,6720
NE SacramentoCounty,NW SacramentoCounty,195400
NE SacramentoCounty,SE SacramentoCounty,16760
Sutter,SE SacramentoCounty,160
Sutter,SW SacramentoCounty,170
Yuba,SE SacramentoCounty,200
Yuba,NE SacramentoCounty,1730
SW SacramentoCounty,Yuba,130
NW SacramentoCounty,NE SacramentoCounty,195700
SE SacramentoCounty,NE SacramentoCounty,16610
Yuba,SW SacramentoCounty,170
SW SacramentoCounty,Central SacramentoCounty,73460
NW SacramentoCounty,Central SacramentoCounty,209000
Sutter,Central SacramentoCounty,3080
Central SacramentoCounty,NW SacramentoCounty,208990
Central SacramentoCounty,Yuba,2960
NE SacramentoCounty,Yuba,1630
Central SacramentoCounty,SW SacramentoCounty,72590
Central SacramentoCounty,Sutter,3160
Yuba,Central SacramentoCounty,2940
El Dorado,NW SacramentoCounty,11260
El Dorado,SE SacramentoCounty,2200
NE SacramentoCounty,Sutter,1460
SW SacramentoCounty,Placer,1920
SW SacramentoCounty,Yolo,5050
NW SacramentoCounty,Yuba,3480
SE SacramentoCounty,Yolo,4150
SE SacramentoCounty,El Dorado,2390
Central SacramentoCounty,SE SacramentoCounty,73500
NW SacramentoCounty,El Dorado,11290
Placer,SW SacramentoCounty,1770
Sutter,NE SacramentoCounty,1420
Yuba,NW SacramentoCounty,3650
NW SacramentoCounty,Sutter,3960
NE SacramentoCounty,Central SacramentoCounty,110460
Placer,SE SacramentoCounty,2320
SE SacramentoCounty,Placer,2150
SE SacramentoCounty,Central SacramentoCounty,73530
Sutter,NW SacramentoCounty,3960
Yolo,SW SacramentoCounty,5110
Yolo,SE SacramentoCounty,4190
Central SacramentoCounty,NE SacramentoCounty,110880
El Dorado,Yuba,180
Sutter,El Dorado,190
El Dorado,Sutter,200
Yuba,El Dorado,200
Yolo,NE SacramentoCounty,16490
El Dorado,Central SacramentoCounty,13960
Central SacramentoCounty,El Dorado,14300
SW SacramentoCounty,El Dorado,520
NE SacramentoCounty,Yolo,16890
Placer,NW SacramentoCounty,90140
NW SacramentoCounty,Placer,89600
Central SacramentoCounty,Placer,28830
Placer,Central SacramentoCounty,29040
Yolo,Central SacramentoCounty,79430
Central SacramentoCounty,Yolo,79680
NW SacramentoCounty,Yolo,49940
Yuba,Yolo,1300
Yolo,NW SacramentoCounty,50090
Yolo,Yuba,1340
NE SacramentoCounty,El Dorado,56720
El Dorado,NE SacramentoCounty,57390
El Dorado,Yolo,2090
Placer,NE SacramentoCounty,133900
Yolo,El Dorado,2350
NE SacramentoCounty,Placer,134630
Sutter,Yolo,2760
Yolo,Sutter,2920
Placer,Sutter,4240
Sutter,Placer,4300
Yuba,Placer,8020
Placer,Yuba,8090
Yolo,Placer,8620
Placer,Yolo,8690
Placer,El Dorado,15930
El Dorado,Placer,16020
Yuba,Sutter,47270
Sutter,Yuba,47490
