AXIS,CHART,QUANTITY
Daily Travel Time,El Dorado,88.9306143736
Daily Travel Time,Placer,66.2774600514
Daily Travel Time,Sacramento,54.0729190784
Daily Travel Time,Sutter,48.4571313784
Daily Travel Time,Yolo,54.9903010885
Daily Travel Time,Yuba,64.6953408698
Auto VMT Per Person,El Dorado,51.9341889815
Auto VMT Per Person,Placer,36.667331515
Auto VMT Per Person,Sacramento,27.4162800449
Auto VMT Per Person,Sutter,26.7866646744
Auto VMT Per Person,Yolo,29.5235716136
Auto VMT Per Person,Yuba,38.4879602051
Distance to Work,El Dorado,22.9172677091
Distance to Work,Placer,14.516604222
Distance to Work,Sacramento,9.79050464587
Distance to Work,Sutter,14.3195848345
Distance to Work,Yolo,10.9597392726
Distance to Work,Yuba,19.2180951679
Auto Mode Share,El Dorado,0.955725048833
Auto Mode Share,Placer,0.946858989646
Auto Mode Share,Sacramento,0.91282017623
Auto Mode Share,Sutter,0.909532744778
Auto Mode Share,Yolo,0.870633696333
Auto Mode Share,Yuba,0.914478114478
