ZONE,COUNTY,TRIP MODE,QUANTITY
217,El Dorado,SOV,1862.1372
217,El Dorado,WALK,272.8326
224,El Dorado,HOV2,290.4181
224,El Dorado,SOV,331.9064
225,El Dorado,HOV2,1148.896
225,El Dorado,HOV3PLUS,1189.386
225,El Dorado,SOV,2492.379
225,El Dorado,WALK,26.82475
848,El Dorado,HOV2,1040.52
848,El Dorado,SOV,1478.90025
850,El Dorado,HOV2,4115.46281
850,El Dorado,HOV3PLUS,1480.96989
850,El Dorado,SOV,3655.86625
850,El Dorado,WALK,266.6666
851,El Dorado,HOV2,3534.66
851,El Dorado,HOV3PLUS,7811.037
851,El Dorado,SOV,18697.194
851,El Dorado,WALKTRANSIT,127.388
853,El Dorado,SOV,2122.0
856,El Dorado,HOV2,3105.5774
856,El Dorado,HOV3PLUS,3027.5925
856,El Dorado,SOV,4027.2854
856,El Dorado,WALK,6116.7146
856,El Dorado,WALKTRANSIT,2623.9135
857,El Dorado,HOV2,51.79662
857,El Dorado,SOV,780.75944
859,El Dorado,HOV2,549.83368
859,El Dorado,HOV3PLUS,109.966736
859,El Dorado,SOV,494.850312
860,El Dorado,HOV2,4035.656394
860,El Dorado,HOV3PLUS,787.268342
860,El Dorado,SOV,15194.520892
864,El Dorado,HOV2,8484.60064
864,El Dorado,SOV,4591.700784
864,El Dorado,TNC,510.188976
870,El Dorado,SOV,549.2372
870,El Dorado,WALK,457.572
872,El Dorado,SOV,140.1546
875,El Dorado,SOV,1360.77
997,El Dorado,SOV,2559.84
999,El Dorado,HOV2,480.605324
999,El Dorado,SOV,3622.669296
1002,El Dorado,HOV2,87.4589
1002,El Dorado,SOV,699.6712
1004,El Dorado,HOV2,316.504
1004,El Dorado,SOV,1226.483034
1006,El Dorado,HOV2,7162.96
1006,El Dorado,SOV,12287.76
1007,El Dorado,OTHER,577.3831
1007,El Dorado,SOV,3145.8326
1007,El Dorado,WALK,82.4833
1008,El Dorado,HOV2,7232.445
1008,El Dorado,HOV3PLUS,11250.47
1008,El Dorado,SCHBUS,3214.42
1008,El Dorado,SOV,2553.8332
1010,El Dorado,HOV2,170.766255
