FROM,TO,BIKE,HOV2,HOV3PLUS,OTHER,SCHBUS,SOV,TNC,TOTAL,WALK,WALKTRANSIT
Antelope-North Highlands,Antelope-North Highlands,3509.52724,33723.220469,70326.671314,196.869,0.0,47831.601157,8.08935,173913.460416,16469.58321,1847.898676
Antelope-North Highlands,Arden Arcade,171.056026,3723.636022,193.28655,0.0,0.0,8896.108634,206.5895,13645.417247,0.0,454.740515
Antelope-North Highlands,Carmichael,0.0,526.248439,326.678377,1997.38,0.0,2223.027442,0.0,5154.334258,81.0,0.0
Antelope-North Highlands,Citrus Heights,83.459,4406.271364,3997.319997,0.0,0.0,12280.004026,0.0,21417.31547,408.454283,241.8068
Antelope-North Highlands,Downtown,41.58755,587.463857,0.0,0.0,0.0,911.429183,0.0,1974.719171,314.789645,119.448936
Antelope-North Highlands,East Sacramento,117.541,80.0463,211.32,0.0,0.0,2104.63137,0.0,2538.930856,0.0,25.392186
Antelope-North Highlands,El Dorado,0.0,0.0,3117.8,0.0,0.0,61.862475,0.0,3179.662475,0.0,0.0
Antelope-North Highlands,Elk Grove,0.0,0.0,0.0,0.0,0.0,186.52625,0.0,186.52625,0.0,0.0
Antelope-North Highlands,Fair Oaks,0.0,198.986806,0.0,0.0,0.0,1068.003492,0.0,1266.990298,0.0,0.0
Antelope-North Highlands,Folsom,0.0,170.4056,471.36486,0.0,0.0,0.0,0.0,641.77046,0.0,0.0
Antelope-North Highlands,Laguna,0.0,58.486109,0.0,0.0,0.0,81.0,0.0,139.486109,0.0,0.0
Antelope-North Highlands,Land Park-Pocket-Meadowview,0.0,218.247544,0.0,42.957,0.0,2264.71325,0.0,2937.097994,87.5697,323.6105
Antelope-North Highlands,North Natomas,0.0,1191.329791,0.0,0.0,0.0,584.5792,0.0,1775.908991,0.0,0.0
Antelope-North Highlands,North Sacramento,0.0,8233.819949,6586.983,42.957,0.0,5644.837625,41.1345,21128.507722,255.165148,323.6105
Antelope-North Highlands,Orangevale,0.0,0.0,392.625,0.0,0.0,98.90875,0.0,491.53375,0.0,0.0
Antelope-North Highlands,Placer,0.0,4433.292157,2006.971015,0.0,0.0,9394.820773,0.0,19269.206945,1500.58,1933.543
Antelope-North Highlands,Rancho Cordova West,0.0,41.1346,139.025,30.03343,0.0,44.3184,0.0,285.60518,31.09375,0.0
Antelope-North Highlands,Rio Linda - Elverta,0.0,2390.143073,4106.463,0.0,0.0,4802.611557,0.0,11349.17853,0.0,49.9609
Antelope-North Highlands,Rosemont,0.0,601.816,0.0,0.0,0.0,380.673675,0.0,982.489675,0.0,0.0
Antelope-North Highlands,South Natomas,0.0,13.941072,0.0,0.0,0.0,514.441339,0.0,772.578988,244.196577,0.0
