ZONE,PER,QUANTITY
13,PER0,0
13,PER1,0
13,PER2,0
13,PER3,0
13,PER4,0
13,PER5,0
13,PER6,0
13,PER7,0
13,PER18,1
13,PER21,2
13,PER22,11
13,PER23,16
13,PER24,20
13,PER25,13
13,PER26,6
13,PER27,3
13,PER28,4
13,PER29,4
13,PER30,3
13,PER31,3
13,PER32,3
13,PER33,1
13,PER34,1
13,PER37,1
13,PER38,3
13,PER39,3
13,PER40,3
13,PER41,3
13,PER42,2
13,PER43,1
14,PER10,80
14,PER11,116
14,PER12,186
14,PER13,270
14,PER14,389
14,PER15,478
14,PER16,531
14,PER17,589
14,PER18,654
14,PER19,700
14,PER20,730
14,PER21,757
14,PER22,773
14,PER23,792
14,PER24,789
14,PER25,784
14,PER26,782
14,PER27,780
14,PER28,763
14,PER29,715
14,PER30,671
14,PER31,619
14,PER32,571
14,PER33,544
14,PER34,493
14,PER35,450
14,PER36,421
14,PER37,374
14,PER38,331
14,PER39,276
14,PER40,229
14,PER41,175
14,PER42,132
14,PER43,100
14,PER44,72
14,PER45,53
14,PER46,34
14,PER47,20
14,PER8,29
14,PER9,49
15,PER10,1648
15,PER11,2559
15,PER12,3590
15,PER13,4775
15,PER14,6041
15,PER15,7053
15,PER16,7841
15,PER17,8351
15,PER18,8738
15,PER19,9083
15,PER20,9395
15,PER21,9680
15,PER22,10216
15,PER23,10798
15,PER24,10956
15,PER25,10651
15,PER26,10491
15,PER27,10409
15,PER28,10300
15,PER29,9978
15,PER30,9442
15,PER31,8829
15,PER32,8181
15,PER33,7274
15,PER34,6214
15,PER35,5410
15,PER36,4909
15,PER37,4512
15,PER38,4081
15,PER39,3724
15,PER40,3353
15,PER41,2979
15,PER42,2645
15,PER43,2364
15,PER44,2092
15,PER45,1770
15,PER46,1478
15,PER47,1123
15,PER8,335
15,PER9,738
16,PER10,402
16,PER11,613
16,PER12,915
16,PER13,1272
16,PER14,1717
16,PER15,2042
16,PER16,2268
16,PER17,2430
16,PER18,2570
16,PER19,2686
16,PER20,2811
16,PER21,2890
16,PER22,3008
16,PER23,3111
16,PER24,3132
16,PER25,3025
16,PER26,2948
16,PER27,2892
16,PER28,2797
16,PER29,2676
16,PER30,2527
16,PER31,2383
16,PER32,2200
16,PER33,1922
16,PER34,1658
16,PER35,1465
16,PER36,1291
16,PER37,1157
16,PER38,1023
16,PER39,870
16,PER40,740
16,PER41,585
16,PER42,445
16,PER43,374
16,PER44,301
16,PER45,221
16,PER46,157
16,PER47,86
16,PER8,94
16,PER9,192
17,PER10,11
17,PER11,17
17,PER12,23
17,PER13,46
17,PER14,79
17,PER15,110
17,PER16,136
17,PER17,154
17,PER18,178
17,PER19,196
17,PER20,207
17,PER21,220
17,PER22,217
17,PER23,208
17,PER24,202
17,PER25,203
17,PER26,205
17,PER27,195
17,PER28,191
17,PER29,181
17,PER30,178
17,PER31,176
17,PER32,160
17,PER33,148
17,PER34,147
17,PER35,125
17,PER36,118
17,PER37,112
17,PER38,87
17,PER39,77
17,PER40,65
17,PER41,53
17,PER42,35
17,PER43,32
17,PER44,24
17,PER45,17
17,PER46,10
17,PER47,5
17,PER8,4
17,PER9,5
18,PER10,66
18,PER11,94
18,PER12,175
18,PER13,307
18,PER14,498
18,PER15,622
18,PER16,678
18,PER17,716
18,PER18,756
18,PER19,798
18,PER20,825
18,PER21,849
18,PER22,861
18,PER23,869
18,PER24,867
18,PER25,847
18,PER26,826
18,PER27,819
18,PER28,796
18,PER29,714
18,PER30,624
18,PER31,548
18,PER32,487
18,PER33,434
18,PER34,393
18,PER35,358
18,PER36,340
18,PER37,317
18,PER38,267
18,PER39,220
18,PER40,184
18,PER41,129
18,PER42,99
18,PER43,82
18,PER44,58
18,PER45,45
18,PER46,28
18,PER47,13
18,PER8,21
18,PER9,42
19,PER10,18
19,PER11,25
19,PER12,39
19,PER13,77
19,PER14,129
19,PER15,162
19,PER16,182
19,PER17,192
19,PER18,206
19,PER19,225
19,PER20,227
19,PER21,230
19,PER22,241
19,PER23,238
19,PER24,229
19,PER25,232
19,PER26,226
19,PER27,226
19,PER28,219
19,PER29,216
19,PER30,186
19,PER31,169
19,PER32,163
19,PER33,142
19,PER34,114
19,PER35,113
19,PER36,103
19,PER37,91
19,PER38,78
19,PER39,69
19,PER40,55
19,PER41,41
19,PER42,29
19,PER43,18
19,PER44,13
19,PER45,8
19,PER46,5
19,PER47,4
19,PER8,6
19,PER9,8
20,PER10,2
20,PER11,2
20,PER12,4
20,PER13,7
20,PER14,12
20,PER15,19
20,PER16,21
20,PER17,23
20,PER18,26
20,PER19,30
20,PER20,35
20,PER21,36
20,PER22,33
20,PER23,31
20,PER24,29
20,PER25,28
20,PER26,25
20,PER27,26
20,PER28,27
20,PER29,26
20,PER30,24
20,PER31,20
20,PER32,20
20,PER33,19
20,PER34,14
20,PER35,16
20,PER36,14
20,PER37,13
20,PER38,14
20,PER39,13
20,PER40,11
20,PER41,11
20,PER42,9
20,PER43,7
20,PER44,7
20,PER45,4
20,PER46,1
20,PER8,1
20,PER9,1
21,PER10,10
21,PER11,20
21,PER12,34
21,PER13,54
21,PER14,85
21,PER15,100
21,PER16,107
21,PER17,115
21,PER18,128
21,PER19,142
21,PER20,149
21,PER21,157
21,PER22,158
21,PER23,162
21,PER24,157
21,PER25,171
21,PER26,166
21,PER27,169
21,PER28,166
21,PER29,157
21,PER30,151
21,PER31,140
21,PER32,132
21,PER33,124
21,PER34,108
21,PER35,96
21,PER36,89
21,PER37,84
21,PER38,69
21,PER39,57
21,PER40,49
21,PER41,37
21,PER42,29
21,PER43,23
21,PER44,19
21,PER45,16
21,PER46,11
21,PER47,7
21,PER9,2
22,PER10,3
22,PER11,8
22,PER12,13
22,PER13,15
22,PER14,22
22,PER15,28
22,PER16,34
22,PER17,34
22,PER18,41
22,PER19,42
22,PER20,42
22,PER21,43
22,PER22,42
22,PER23,41
22,PER24,39
22,PER25,40
22,PER26,39
22,PER27,37
22,PER28,38
22,PER29,38
22,PER30,35
22,PER31,37
22,PER32,32
22,PER33,24
22,PER34,24
22,PER35,20
22,PER36,21
22,PER37,17
22,PER38,15
22,PER39,14
22,PER40,12
22,PER41,11
22,PER42,6
22,PER43,5
22,PER44,5
22,PER45,4
22,PER46,3
22,PER47,1
22,PER8,1
22,PER9,1
23,PER10,16
23,PER11,30
23,PER12,50
23,PER13,88
23,PER14,139
23,PER15,160
23,PER16,169
23,PER17,175
23,PER18,183
23,PER19,201
23,PER20,204
23,PER21,215
23,PER22,227
23,PER23,227
23,PER24,222
23,PER25,216
23,PER26,210
23,PER27,204
23,PER28,195
23,PER29,178
23,PER30,168
23,PER31,156
23,PER32,146
23,PER33,134
23,PER34,137
23,PER35,131
23,PER36,132
23,PER37,121
23,PER38,106
23,PER39,76
23,PER40,59
23,PER41,40
23,PER42,35
23,PER43,29
23,PER44,27
23,PER45,20
23,PER46,14
23,PER47,7
23,PER8,8
23,PER9,11
24,PER11,2
24,PER12,3
24,PER13,7
24,PER14,7
24,PER15,7
24,PER16,7
24,PER17,7
24,PER18,7
24,PER19,8
24,PER20,8
24,PER21,9
24,PER22,9
24,PER23,9
24,PER24,10
24,PER25,11
24,PER26,11
24,PER27,11
24,PER28,11
24,PER29,11
24,PER30,11
24,PER31,9
24,PER32,9
24,PER33,6
24,PER34,5
24,PER35,3
24,PER36,2
24,PER37,2
24,PER38,2
24,PER39,2
24,PER40,1
25,PER10,3
25,PER11,6
25,PER12,11
25,PER13,17
25,PER14,25
25,PER15,32
25,PER16,33
25,PER17,41
25,PER18,45
25,PER19,51
25,PER20,59
25,PER21,63
25,PER22,64
25,PER23,63
25,PER24,61
25,PER25,67
25,PER26,63
25,PER27,61
25,PER28,63
25,PER29,60
25,PER30,53
25,PER31,50
25,PER32,45
25,PER33,41
25,PER34,43
25,PER35,41
25,PER36,43
25,PER37,42
25,PER38,39
25,PER39,38
25,PER40,32
25,PER41,25
25,PER42,17
25,PER43,13
25,PER44,7
25,PER45,5
25,PER46,4
25,PER47,2
25,PER8,1
25,PER9,3
27,PER10,20
27,PER11,33
27,PER12,52
27,PER13,85
27,PER14,131
27,PER15,154
27,PER16,182
27,PER17,200
27,PER18,220
27,PER19,230
27,PER20,240
27,PER21,246
27,PER22,246
27,PER23,244
27,PER24,248
27,PER25,247
27,PER26,247
27,PER27,239
27,PER28,228
27,PER29,214
27,PER30,200
27,PER31,179
27,PER32,173
27,PER33,158
27,PER34,143
27,PER35,130
27,PER36,115
27,PER37,111
27,PER38,101
27,PER39,86
27,PER40,68
27,PER41,57
27,PER42,35
27,PER43,23
27,PER44,13
27,PER45,13
27,PER46,9
27,PER47,3
27,PER8,6
27,PER9,12
28,PER10,35
28,PER11,54
28,PER12,93
28,PER13,171
28,PER14,272
28,PER15,337
28,PER16,371
28,PER17,387
28,PER18,409
28,PER19,428
28,PER20,444
28,PER21,446
28,PER22,456
28,PER23,462
28,PER24,447
28,PER25,456
28,PER26,439
28,PER27,432
28,PER28,408
28,PER29,375
28,PER30,348
28,PER31,319
28,PER32,294
28,PER33,261
28,PER34,226
28,PER35,201
28,PER36,168
28,PER37,152
28,PER38,134
28,PER39,109
28,PER40,99
28,PER41,81
28,PER42,65
28,PER43,49
28,PER44,36
28,PER45,26
28,PER46,19
28,PER47,4
28,PER8,7
28,PER9,10
29,PER10,10
29,PER11,12
29,PER12,21
29,PER13,29
29,PER14,39
29,PER15,47
29,PER16,56
29,PER17,58
29,PER18,61
29,PER19,65
29,PER20,67
29,PER21,70
29,PER22,70
29,PER23,70
29,PER24,71
29,PER25,74
29,PER26,74
29,PER27,73
29,PER28,71
29,PER29,68
29,PER30,59
29,PER31,51
29,PER32,45
29,PER33,42
29,PER34,39
29,PER35,32
29,PER36,26
29,PER37,24
29,PER38,19
29,PER39,15
29,PER40,10
29,PER41,5
29,PER42,5
29,PER43,4
29,PER44,4
29,PER45,3
29,PER46,2
29,PER47,1
29,PER8,2
29,PER9,3
30,PER10,2
30,PER11,4
30,PER12,9
30,PER13,14
30,PER14,20
30,PER15,31
30,PER16,33
30,PER17,35
30,PER18,38
30,PER19,40
30,PER20,38
30,PER21,44
30,PER22,46
30,PER23,52
30,PER24,47
30,PER25,48
30,PER26,42
30,PER27,40
30,PER28,37
30,PER29,35
30,PER30,32
30,PER31,31
30,PER32,23
30,PER33,18
30,PER34,17
30,PER35,22
30,PER36,20
30,PER37,18
30,PER38,17
30,PER39,12
30,PER40,10
30,PER41,9
30,PER42,5
30,PER43,4
30,PER44,2
30,PER45,1
30,PER8,1
30,PER9,1
31,PER10,1
31,PER11,3
31,PER12,3
31,PER13,4
31,PER14,5
31,PER15,8
31,PER16,10
31,PER17,13
31,PER18,19
31,PER19,20
31,PER20,20
31,PER21,24
31,PER22,22
31,PER23,23
31,PER24,19
31,PER25,18
31,PER26,13
31,PER27,10
31,PER28,16
31,PER29,18
31,PER30,19
31,PER31,16
31,PER32,18
31,PER33,22
31,PER34,22
31,PER35,20
31,PER36,19
31,PER37,15
31,PER38,13
31,PER39,9
31,PER40,6
31,PER41,6
31,PER42,5
31,PER43,3
31,PER44,1
31,PER45,1
31,PER8,1
31,PER9,1
32,PER10,19
32,PER11,31
32,PER12,57
32,PER13,92
32,PER14,128
32,PER15,153
32,PER16,163
32,PER17,177
32,PER18,187
32,PER19,190
32,PER20,196
32,PER21,201
32,PER22,206
32,PER23,201
