PERSON_TYPE,PER,PURPOSE,QUANTITY,person_order
FULL-TIME WORKER,8,DISCRETIONARY,1642,1
FULL-TIME WORKER,8,EATING OUT,446,1
FULL-TIME WORKER,8,ESCORT,191,1
FULL-TIME WORKER,8,HOME,1456411,1
FULL-TIME WORKER,8,MAINTENANCE,857,1
FULL-TIME WORKER,8,SHOP,666,1
FULL-TIME WORKER,8,VISITING,290,1
FULL-TIME WORKER,8,WORK,22309,1
FULL-TIME WORKER,8,WORK-BASED,64,1
FULL-TIME WORKER,9,DISCRETIONARY,3476,1
FULL-TIME WORKER,9,EATING OUT,822,1
FULL-TIME WORKER,9,ESCORT,788,1
FULL-TIME WORKER,9,HOME,1428460,1
FULL-TIME WORKER,9,MAINTENANCE,2060,1
FULL-TIME WORKER,9,SHOP,1493,1
FULL-TIME WORKER,9,VISITING,583,1
FULL-TIME WORKER,9,WORK,45018,1
FULL-TIME WORKER,9,WORK-BASED,176,1
FULL-TIME WORKER,10,DISCRETIONARY,5528,1
FULL-TIME WORKER,10,EATING OUT,1119,1
FULL-TIME WORKER,10,ESCORT,2328,1
FULL-TIME WORKER,10,HOME,1360419,1
FULL-TIME WORKER,10,MAINTENANCE,3722,1
FULL-TIME WORKER,10,SHOP,2398,1
FULL-TIME WORKER,10,VISITING,883,1
FULL-TIME WORKER,10,WORK,106041,1
FULL-TIME WORKER,10,WORK-BASED,438,1
FULL-TIME WORKER,11,DISCRETIONARY,7269,1
FULL-TIME WORKER,11,EATING OUT,1231,1
FULL-TIME WORKER,11,ESCORT,5063,1
FULL-TIME WORKER,11,HOME,1284537,1
FULL-TIME WORKER,11,MAINTENANCE,5451,1
FULL-TIME WORKER,11,SHOP,2996,1
FULL-TIME WORKER,11,VISITING,1102,1
FULL-TIME WORKER,11,WORK,174431,1
FULL-TIME WORKER,11,WORK-BASED,796,1
FULL-TIME WORKER,12,DISCRETIONARY,8485,1
FULL-TIME WORKER,12,EATING OUT,1125,1
FULL-TIME WORKER,12,ESCORT,6287,1
FULL-TIME WORKER,12,HOME,1170070,1
FULL-TIME WORKER,12,MAINTENANCE,7108,1
FULL-TIME WORKER,12,SHOP,3401,1
FULL-TIME WORKER,12,VISITING,1256,1
FULL-TIME WORKER,12,WORK,283815,1
FULL-TIME WORKER,12,WORK-BASED,1329,1
FULL-TIME WORKER,13,DISCRETIONARY,9065,1
FULL-TIME WORKER,13,EATING OUT,942,1
FULL-TIME WORKER,13,ESCORT,12240,1
FULL-TIME WORKER,13,HOME,1013914,1
FULL-TIME WORKER,13,MAINTENANCE,8315,1
FULL-TIME WORKER,13,SHOP,3510,1
FULL-TIME WORKER,13,VISITING,1296,1
FULL-TIME WORKER,13,WORK,431577,1
FULL-TIME WORKER,13,WORK-BASED,2017,1
FULL-TIME WORKER,14,DISCRETIONARY,10510,1
FULL-TIME WORKER,14,EATING OUT,873,1
FULL-TIME WORKER,14,ESCORT,25261,1
FULL-TIME WORKER,14,HOME,821855,1
FULL-TIME WORKER,14,MAINTENANCE,10157,1
FULL-TIME WORKER,14,SHOP,3443,1
FULL-TIME WORKER,14,VISITING,1337,1
FULL-TIME WORKER,14,WORK,606518,1
FULL-TIME WORKER,14,WORK-BASED,2922,1
FULL-TIME WORKER,15,DISCRETIONARY,11860,1
FULL-TIME WORKER,15,EATING OUT,841,1
FULL-TIME WORKER,15,ESCORT,24925,1
FULL-TIME WORKER,15,HOME,690601,1
FULL-TIME WORKER,15,MAINTENANCE,11543,1
FULL-TIME WORKER,15,SHOP,3578,1
FULL-TIME WORKER,15,VISITING,1619,1
FULL-TIME WORKER,15,WORK,733818,1
FULL-TIME WORKER,15,WORK-BASED,4091,1
FULL-TIME WORKER,16,DISCRETIONARY,12840,1
FULL-TIME WORKER,16,EATING OUT,801,1
FULL-TIME WORKER,16,ESCORT,15483,1
FULL-TIME WORKER,16,HOME,604948,1
FULL-TIME WORKER,16,MAINTENANCE,13132,1
FULL-TIME WORKER,16,SHOP,4391,1
FULL-TIME WORKER,16,VISITING,2120,1
FULL-TIME WORKER,16,WORK,823478,1
FULL-TIME WORKER,16,WORK-BASED,5683,1
FULL-TIME WORKER,17,DISCRETIONARY,13940,1
FULL-TIME WORKER,17,EATING OUT,857,1
FULL-TIME WORKER,17,ESCORT,7214,1
FULL-TIME WORKER,17,HOME,555864,1
