TRIPS BY MODE,NEST_MODE,SIMPLE_MODE,QUANTITY
AUTO           ,DRIVEALONE     ,DRIVEALONEFREE ,4748645
AUTO           ,DRIVEALONE     ,DRIVEALONEPAY  ,57831
AUTO           ,SHARED2        ,SHARED2FREE    ,2176849
AUTO           ,SHARED2        ,SHARED2PAY     ,1869
AUTO           ,SHARED3        ,SHARED3FREE    ,1423148
AUTO           ,SHARED3        ,SHARED3PAY     ,962
NONMOTORIZED   ,BIKE           ,BIKE           ,101864
NONMOTORIZED   ,WALK           ,WALK           ,969794
SCHOOL_BUS     ,SCHOOL_BUS     ,SCHOOL_BUS     ,131484
TRANSIT        ,KNR            ,KNR_LOCAL      ,1728
TRANSIT        ,KNR            ,KNR_PRMTRN     ,6703
TRANSIT        ,PNR            ,PNR_LOCAL      ,909
TRANSIT        ,PNR            ,PNR_PRMTRN     ,10339
TRANSIT        ,WALK_TRANSIT   ,WALK_LOCAL     ,87624
TRANSIT        ,WALK_TRANSIT   ,WALK_PRMTRN    ,84830
