ZONE,PER,QUANTITY
13,PER0,0
13,PER1,0
13,PER2,0
13,PER3,0
13,PER4,0
13,PER5,0
13,PER6,0
13,PER7,0
13,PER8,0
13,PER9,0
13,PER10,22
13,PER11,35
13,PER12,68
13,PER13,123
13,PER14,164
13,PER15,193
13,PER16,232
13,PER17,263
13,PER18,287
13,PER19,321
13,PER20,343
13,PER21,346
13,PER22,353
13,PER23,344
13,PER24,333
13,PER25,321
13,PER26,327
13,PER27,322
13,PER28,319
13,PER29,303
13,PER30,293
13,PER31,275
13,PER32,241
13,PER33,212
13,PER34,184
13,PER35,163
13,PER36,151
13,PER37,145
13,PER38,135
13,PER39,110
13,PER40,97
13,PER41,69
13,PER42,40
13,PER43,35
13,PER44,26
13,PER45,21
13,PER46,12
13,PER47,8
13,PER8,4
13,PER9,8
14,PER10,13
14,PER11,25
14,PER12,33
14,PER13,45
14,PER14,56
14,PER15,67
14,PER16,76
14,PER17,78
14,PER18,81
14,PER19,84
14,PER20,84
14,PER21,83
14,PER22,84
14,PER23,85
14,PER24,87
14,PER25,86
14,PER26,85
14,PER27,82
14,PER28,84
14,PER29,77
14,PER30,73
14,PER31,64
14,PER32,58
14,PER33,56
14,PER34,48
14,PER35,31
14,PER36,29
14,PER37,27
14,PER38,23
14,PER39,23
14,PER40,20
14,PER41,15
14,PER42,13
14,PER43,10
14,PER44,7
14,PER45,7
14,PER46,6
14,PER47,3
14,PER8,6
14,PER9,8
15,PER10,5551
15,PER11,7833
15,PER12,10843
15,PER13,14022
15,PER14,17016
15,PER15,19220
15,PER16,20925
15,PER17,21936
15,PER18,22605
15,PER19,23050
15,PER20,23454
15,PER21,23831
15,PER22,24258
15,PER23,24643
15,PER24,24858
15,PER25,24801
15,PER26,24737
15,PER27,24623
15,PER28,24278
15,PER29,23534
15,PER30,21912
15,PER31,20141
15,PER32,18121
15,PER33,15422
15,PER34,12351
15,PER35,9792
15,PER36,8046
15,PER37,6964
15,PER38,5952
15,PER39,5226
15,PER40,4657
15,PER41,4163
15,PER42,3757
15,PER43,3344
15,PER44,2972
15,PER45,2556
15,PER46,2139
15,PER47,1565
15,PER8,1472
15,PER9,2851
16,PER10,1139
16,PER11,1579
16,PER12,2178
16,PER13,2995
16,PER14,3861
16,PER15,4451
16,PER16,4814
16,PER17,4999
16,PER18,5085
16,PER19,5139
16,PER20,5188
16,PER21,5241
16,PER22,5314
16,PER23,5356
16,PER24,5377
16,PER25,5351
16,PER26,5340
16,PER27,5292
16,PER28,5162
16,PER29,4896
16,PER30,4475
16,PER31,4102
16,PER32,3610
16,PER33,3055
16,PER34,2404
16,PER35,1854
16,PER36,1501
16,PER37,1268
16,PER38,1022
16,PER39,886
16,PER40,770
16,PER41,687
16,PER42,573
16,PER43,490
16,PER44,425
16,PER45,356
16,PER46,295
16,PER47,205
16,PER8,339
16,PER9,616
17,PER12,6
17,PER13,17
17,PER14,35
17,PER15,45
17,PER16,50
17,PER17,50
17,PER18,50
17,PER19,51
17,PER20,53
17,PER21,53
17,PER22,54
17,PER23,54
17,PER24,55
17,PER25,57
17,PER26,54
17,PER27,54
17,PER28,53
17,PER29,41
17,PER30,34
17,PER31,31
17,PER32,30
17,PER33,29
17,PER34,19
17,PER35,21
17,PER36,19
17,PER37,15
17,PER38,14
17,PER39,12
17,PER40,10
17,PER41,10
17,PER42,7
17,PER43,7
17,PER44,7
17,PER45,4
17,PER46,2
17,PER47,1
18,PER10,25
18,PER11,40
18,PER12,65
18,PER13,102
18,PER14,147
18,PER15,172
18,PER16,184
18,PER17,196
18,PER18,205
18,PER19,209
18,PER20,207
18,PER21,208
18,PER22,213
18,PER23,211
18,PER24,218
18,PER25,216
18,PER26,211
18,PER27,212
18,PER28,197
18,PER29,197
18,PER30,181
18,PER31,165
18,PER32,149
18,PER33,130
18,PER34,104
18,PER35,92
18,PER36,76
18,PER37,72
18,PER38,61
18,PER39,51
18,PER40,39
18,PER41,28
18,PER42,17
18,PER43,13
18,PER44,9
18,PER45,6
18,PER46,3
18,PER47,2
18,PER8,8
18,PER9,16
19,PER10,3
19,PER11,4
19,PER12,6
19,PER13,10
19,PER14,16
19,PER15,17
19,PER16,24
19,PER17,25
19,PER18,25
19,PER19,25
19,PER20,22
19,PER21,21
19,PER22,24
19,PER23,28
19,PER24,24
19,PER25,22
19,PER26,22
19,PER27,23
19,PER28,20
19,PER29,17
19,PER30,15
19,PER31,19
19,PER32,17
19,PER33,16
19,PER34,19
19,PER35,15
19,PER36,13
19,PER37,18
19,PER38,18
19,PER39,13
19,PER40,8
19,PER41,5
19,PER42,3
19,PER43,1
19,PER44,1
19,PER45,1
20,PER10,11
20,PER11,17
20,PER12,24
20,PER13,32
20,PER14,41
20,PER15,49
20,PER16,57
20,PER17,61
20,PER18,61
20,PER19,61
20,PER20,64
20,PER21,65
20,PER22,68
20,PER23,67
20,PER24,69
20,PER25,70
20,PER26,70
20,PER27,68
20,PER28,67
20,PER29,61
20,PER30,55
20,PER31,52
20,PER32,50
20,PER33,42
20,PER34,34
20,PER35,25
20,PER36,21
20,PER37,19
20,PER38,17
20,PER39,14
20,PER40,14
20,PER41,11
20,PER42,7
20,PER43,6
20,PER44,3
20,PER45,2
20,PER46,2
20,PER47,1
20,PER8,2
20,PER9,6
21,PER10,7
21,PER11,12
21,PER12,24
21,PER13,35
21,PER14,51
21,PER15,63
21,PER16,67
21,PER17,76
21,PER18,82
21,PER19,84
21,PER20,80
21,PER21,82
21,PER22,86
21,PER23,87
21,PER24,87
21,PER25,81
21,PER26,81
21,PER27,80
21,PER28,79
21,PER29,73
21,PER30,68
21,PER31,58
21,PER32,56
21,PER33,48
21,PER34,33
21,PER35,30
21,PER36,28
21,PER37,27
21,PER38,28
21,PER39,24
21,PER40,23
21,PER41,19
21,PER42,14
21,PER43,10
21,PER44,6
21,PER45,5
21,PER46,2
21,PER47,1
21,PER9,1
22,PER13,3
22,PER14,6
22,PER15,8
22,PER16,10
22,PER17,10
22,PER18,10
22,PER19,10
22,PER20,12
22,PER21,12
22,PER22,11
22,PER23,11
22,PER24,12
22,PER25,12
22,PER26,11
22,PER27,9
22,PER28,9
22,PER29,8
22,PER30,11
22,PER31,11
22,PER32,9
22,PER33,12
22,PER34,10
22,PER35,7
22,PER36,15
22,PER37,15
22,PER38,11
22,PER39,12
22,PER40,10
22,PER41,5
22,PER42,5
22,PER43,3
22,PER44,3
22,PER45,3
22,PER46,2
23,PER13,2
23,PER14,6
23,PER15,7
23,PER16,8
23,PER17,8
23,PER18,8
23,PER19,8
23,PER20,8
23,PER21,10
23,PER22,10
23,PER23,10
23,PER24,10
23,PER25,10
23,PER26,11
23,PER27,11
23,PER28,10
23,PER29,6
23,PER30,5
23,PER31,5
23,PER32,6
23,PER33,5
23,PER34,6
23,PER35,7
23,PER36,8
23,PER37,7
23,PER38,5
23,PER39,5
23,PER40,4
23,PER41,4
23,PER42,2
23,PER43,1
23,PER44,1
23,PER45,2
24,PER10,9
24,PER11,8
24,PER12,12
24,PER13,22
24,PER14,32
24,PER15,44
24,PER16,46
24,PER17,63
24,PER18,64
24,PER19,66
24,PER20,65
24,PER21,59
24,PER22,57
24,PER23,57
24,PER24,61
24,PER25,62
24,PER26,62
24,PER27,64
24,PER28,62
24,PER29,65
24,PER30,65
24,PER31,66
24,PER32,78
24,PER33,90
24,PER34,86
24,PER35,93
24,PER36,111
24,PER37,108
24,PER38,92
24,PER39,79
24,PER40,64
24,PER41,47
24,PER42,30
24,PER43,25
24,PER44,13
24,PER45,6
24,PER46,5
24,PER47,3
24,PER8,2
24,PER9,8
25,PER10,2
25,PER11,2
25,PER12,2
25,PER13,3
25,PER14,4
25,PER15,5
25,PER16,6
25,PER17,6
25,PER18,8
25,PER19,8
25,PER20,9
25,PER21,8
25,PER22,9
25,PER23,9
25,PER24,9
25,PER25,9
25,PER26,8
25,PER27,8
25,PER28,8
25,PER29,8
25,PER30,8
25,PER31,6
25,PER32,6
25,PER33,6
25,PER34,5
25,PER35,4
25,PER36,2
25,PER8,1
25,PER9,1
26,PER10,10
26,PER11,13
26,PER12,17
26,PER13,23
26,PER14,33
26,PER15,49
26,PER16,61
26,PER17,66
26,PER18,71
26,PER19,75
26,PER20,82
26,PER21,81
26,PER22,84
26,PER23,85
26,PER24,87
26,PER25,90
26,PER26,88
26,PER27,88
26,PER28,85
26,PER29,85
26,PER30,86
26,PER31,84
26,PER32,89
26,PER33,82
26,PER34,81
26,PER35,89
26,PER36,101
26,PER37,95
26,PER38,85
26,PER39,73
26,PER40,60
26,PER41,50
26,PER42,36
26,PER43,37
26,PER44,36
26,PER45,23
26,PER46,11
26,PER47,8
26,PER8,3
26,PER9,7
27,PER10,2
27,PER11,2
27,PER12,4
27,PER13,5
27,PER14,12
27,PER15,19
27,PER16,19
27,PER17,22
27,PER18,26
27,PER19,27
27,PER20,28
27,PER21,24
27,PER22,26
27,PER23,25
27,PER24,26
27,PER25,25
27,PER26,22
27,PER27,22
27,PER28,21
27,PER29,20
27,PER30,20
27,PER31,18
27,PER32,18
27,PER33,18
27,PER34,19
27,PER35,14
27,PER36,15
27,PER37,15
27,PER38,15
27,PER39,14
27,PER40,11
27,PER41,9
27,PER42,4
27,PER43,2
27,PER44,2
27,PER45,3
27,PER46,3
27,PER47,2
27,PER9,1
28,PER10,2
28,PER11,3
28,PER12,8
28,PER13,14
28,PER14,20
28,PER15,28
28,PER16,31
28,PER17,29
28,PER18,29
28,PER19,30
28,PER20,34
28,PER21,32
28,PER22,29
28,PER23,28
28,PER24,28
28,PER25,30
28,PER26,30
28,PER27,33
28,PER28,33
28,PER29,28
28,PER30,25
28,PER31,26
28,PER32,26
28,PER33,22
28,PER34,23
28,PER35,26
28,PER36,28
28,PER37,31
28,PER38,30
28,PER39,25
28,PER40,25
28,PER41,19
28,PER42,9
28,PER43,8
28,PER44,4
28,PER45,3
28,PER46,3
28,PER47,1
28,PER8,1
28,PER9,1
29,PER10,3
29,PER11,4
29,PER12,3
29,PER13,4
29,PER14,8
29,PER15,10
29,PER16,11
29,PER17,9
29,PER18,9
29,PER19,7
29,PER20,9
29,PER21,10
29,PER22,11
29,PER23,10
29,PER24,10
29,PER25,10
29,PER26,10
29,PER27,9
29,PER28,8
29,PER29,7
29,PER30,7
29,PER31,6
29,PER32,11
29,PER33,12
29,PER34,11
29,PER35,12
29,PER36,10
29,PER37,5
29,PER38,4
29,PER39,4
29,PER40,5
29,PER41,5
29,PER42,3
29,PER43,3
29,PER44,3
29,PER45,2
29,PER46,2
29,PER9,1
30,PER10,17
30,PER11,26
30,PER12,45
30,PER13,65
30,PER14,105
30,PER15,130
30,PER16,147
30,PER17,157
30,PER18,167
30,PER19,169
30,PER20,168
30,PER21,172
30,PER22,175
30,PER23,174
30,PER24,180
30,PER25,174
30,PER26,173
30,PER27,167
30,PER28,163
30,PER29,159
30,PER30,156
30,PER31,143
30,PER32,129
30,PER33,109
30,PER34,84
30,PER35,69
30,PER36,60
30,PER37,55
30,PER38,44
30,PER39,34
30,PER40,27
30,PER41,20
30,PER42,17
30,PER43,13
30,PER44,12
30,PER45,7
30,PER46,6
30,PER47,3
30,PER8,3
30,PER9,7
31,PER10,15
31,PER11,30
31,PER12,29
31,PER13,43
31,PER14,62
31,PER15,81
31,PER16,105
31,PER17,122
31,PER18,131
31,PER19,138
31,PER20,145
31,PER21,147
31,PER22,154
